"PortfolioCompany","ParentPlatformOrAddOnTo","Sector","CompetitorCluster","KeyCompetitors (semi-colon separated)","TopicsToMonitor (semi-colon separated)","RecommendedNewsSources (semi-colon separated)","WhyTheseSourcesMatter (short justification)"
"Kantar XTEL","","CPG / Retail Tech","Trade Promotion Management (TPM) & Trade Spend Optimization","Exceedra (TELUS International); UpClear (BluePlanner/ClearView); SAP Trade Promotion Mgmt; Oracle (Demantra / Siebel Consumer Goods); Anaplan; Vistex; BluePlanner; Vividly; Promomash; Wiser Solutions","Trade spend/TPM/RGM innovation; AI-driven promotion analytics; Retailer collaboration tools; Deductions/settlement automation; Large CPG customer wins; M&A; Fundraising; Large partnerships; Product launches/AI features; Leadership changes; Pricing/packaging; Major customer wins/losses; Geographic expansion; Regulatory/legal (where applicable)","Promotion Optimization Institute (POI) reports/awards; Consumer Goods Technology (CGT); Gartner/peer review pages for TPM; G2/Capterra competitor & category pages (TPM); Company newsrooms for competitors; LinkedIn (CPG commercial tech leaders, vendor pages); GP Bullhound insights/press releases; Business Wire/PR Newswire (vendor announcements)","POI/CGT are niche, high-signal for TPM/RGM. Analyst/review categories help discover new entrants and track vendor positioning. Company/LinkedIn posts capture launches, hires and partnerships often missed by press. GP Bullhound + wires are efficient for major deals and strategic announcements."
"StepUp RGM","Kantar XTEL (Transformational Add-On)","CPG / Retail Tech","Revenue Growth Management (RGM) & Commercial Analytics (price/pack/promo)","NielsenIQ (RGM/analytics); Circana (IRI); Dunnhumby (RGM/analytics); Anaplan (planning/FP&A + RGM); SAP/Oracle RGM modules; UpClear; Exceedra; Vistex; Pricefx (pricing); Zilliant (pricing)","RGM roadmap tools; price/pack architecture analytics; promo effectiveness; AI/ML for demand & elasticity; integrations with TPM and retailer data; M&A; Fundraising; Large partnerships; Product launches/AI features; Leadership changes; Pricing/packaging; Major customer wins/losses; Geographic expansion; Regulatory/legal (where applicable)","Kantar/Kantar XTEL announcements; POI + CGT (TPM/RGM ecosystem); Retail/CPG analytics press (NielsenIQ/Circana newsrooms); Gartner/peer review pages (TPM/RGM adjacencies); LinkedIn (CPG RGM leaders; vendor pages); GP Bullhound insights/press releases; Business Wire/PR Newswire","RGM signals often appear in CPG analytics and planning ecosystems (not just TPM). Monitoring key data/analytics vendors plus specialist TPM/RGM outlets gives early warning on feature gaps and market consolidation."
"Thesis","","Education Technology","Higher Education Student Information System (SIS) / Student Lifecycle Platforms","Ellucian (Banner/Colleague); Oracle PeopleSoft Campus Solutions; Workday Student; Anthology SIS; Jenzabar; Unit4 Student Management; Tribal SITS (UK); Blackbaud SIS (select segments); Homegrown SIS programs (large systems)","Cloud migrations from legacy SIS; interoperability (LMS/CRM/HR/finance); student success analytics; AI advising/admin automation; cybersecurity & compliance (student data); M&A; Fundraising; Large partnerships; Product launches/AI features; Leadership changes; Pricing/packaging; Major customer wins/losses; Geographic expansion; Regulatory/legal (where applicable)","ListEdTech (SIS market share/trends); Higher Ed Dive / Inside Higher Ed; EDUCAUSE news + conference coverage; Vendor newsrooms (Ellucian, Workday, Anthology, etc.); University procurement/IT announcements (RFP awards); LinkedIn (CIO/Registrar community); Business Wire/PR Newswire (large campus deals)","Higher-ed SIS moves show up via sector-specific press (Higher Ed Dive) and market analytics (ListEdTech). EDUCAUSE and procurement/RFP news are high-signal for competitive wins/losses. Vendor releases/LinkedIn capture go-lives, integrations and leadership changes."
"Orbus Software (iServer365)","","Enterprise Software","Enterprise Architecture (EA) & Digital Transformation Platforms","SAP LeanIX; BiZZdesign; MEGA HOPEX; Ardoq; BOC Group ADOIT; Avolution Abacus; Planview; Software AG Alfabet; Sparx Systems Enterprise Architect; Quest erwin Evolve","EA tooling innovation; Application Portfolio Management; cyber/risk extensions; AI-assisted modelling/insights; platform integrations (ServiceNow/Jira/CMDB); M&A; Fundraising; Large partnerships; Product launches/AI features; Leadership changes; Pricing/packaging; Major customer wins/losses; Geographic expansion; Regulatory/legal (where applicable)","Gartner EA tools market pages/reviews; CIO.com / enterprise architecture trade press; Vendor blogs/changelogs (LeanIX, Ardoq, BiZZdesign, etc.); LinkedIn (enterprise architects; EA communities); Major IT analyst coverage (Forrester/Gartner summaries); Business Wire/PR Newswire","EA is analyst-driven; Gartner-style market coverage is a strong barometer of vendor momentum. Enterprise architecture communities and vendor release notes surface roadmap shifts and platform integrations early."
"SALESmanago","","Marketing Technology","Marketing Automation + CDP / Customer Engagement Platforms","HubSpot; Adobe Marketo Engage; Salesforce Marketing Cloud / Account Engagement; Oracle Eloqua; Klaviyo; Braze; ActiveCampaign; Mailchimp; Iterable; Bloomreach Engagement; Selligent","GenAI for marketing; first-party data/CDP; omnichannel (email/SMS/WhatsApp/push); attribution & measurement; e-commerce integrations; M&A; Fundraising; Large partnerships; Product launches/AI features; Leadership changes; Pricing/packaging; Major customer wins/losses; Geographic expansion; Regulatory/legal (where applicable)","MarTech.org; Marketing Dive / The Drum / Marketing Week (MarTech coverage); Gartner B2B Marketing Automation Platforms market pages; G2 marketing automation category trends; Vendor release notes/blogs; LinkedIn (CMO/CRM community); Business Wire/PR Newswire","MarTech has frequent product launches and partnerships; specialist outlets and vendor release notes capture details. Gartner/G2 help map category shifts and emerging competitors. LinkedIn is unusually high-signal for MarTech launches and GTM moves."
"Vindsubsidies","","Tech-enabled Business Services","Grants/Subsidies Advisory + Grant Discovery/Database Platforms (NL/EU)","PNO Consultants; Hezelburcht; Ignite Group; Catalyze; Ayming (R&D incentives); Leyton (R&D incentives); Big4 (Deloitte/PwC/EY/KPMG incentives practices)","EU & national funding programme changes; R&D tax credits/incentives; digitisation/AI in grant discovery; roll-up M&A in advisory; M&A; Fundraising; Large partnerships; Product launches/AI features; Leadership changes; Pricing/packaging; Major customer wins/losses; Geographic expansion; Regulatory/legal (where applicable)","Science|Business (EU research/funding policy); CORDIS / European Commission funding updates; National funding agencies (e.g., NL RVO) announcements; Competitor newsrooms (PNO, Hezelburcht, etc.); LinkedIn (policy + consultancy updates); GP Bullhound insights/press releases (tech-enabled services deals); Press-release wires","Funding advisory is policy-driven; official programme announcements are primary signals. Science|Business/CORDIS provide structured coverage of EU funding. Competitor and LinkedIn channels reveal wins and expansion before they hit mainstream press."
"Dorucon","Vindsubsidies (Add-On)","Tech-enabled Business Services","Grants/Subsidies Advisory + Grant Discovery/Database Platforms","PNO Consultants; Hezelburcht; Ignite Group; Catalyze; Ayming (R&D incentives); Leyton (R&D incentives); Big4 incentives practices","Germany funding programme updates; EU programmes (Horizon etc.); R&D tax credits; advisory roll-up M&A; M&A; Fundraising; Large partnerships; Product launches/AI features; Leadership changes; Pricing/packaging; Major customer wins/losses; Geographic expansion; Regulatory/legal (where applicable)","Science|Business (EU research/funding policy); CORDIS / European Commission funding updates; Germany funding agency updates (e.g., NL RVO / German federal/state programmes); Competitor newsrooms; LinkedIn (consultants + policy ecosystem); Press-release wires","Add-ons share the same competitive landscape as Vindsubsidies, but with a stronger local-policy tilt. Official programme updates + competitor channels are the fastest way to detect pipeline shifts and consolidation opportunities."
"De Breed & Partners","Vindsubsidies (Add-On)","Tech-enabled Business Services","Grants/Subsidies Advisory + Grant Discovery/Database Platforms","PNO Consultants; Hezelburcht; Ignite Group; Catalyze; Ayming (R&D incentives); Leyton (R&D incentives); Big4 incentives practices","Netherlands funding programme updates; EU programmes (Horizon etc.); R&D tax credits; advisory roll-up M&A; M&A; Fundraising; Large partnerships; Product launches/AI features; Leadership changes; Pricing/packaging; Major customer wins/losses; Geographic expansion; Regulatory/legal (where applicable)","Science|Business (EU research/funding policy); CORDIS / European Commission funding updates; Netherlands funding agency updates (e.g., NL RVO / German federal/state programmes); Competitor newsrooms; LinkedIn (consultants + policy ecosystem); Press-release wires","Add-ons share the same competitive landscape as Vindsubsidies, but with a stronger local-policy tilt. Official programme updates + competitor channels are the fastest way to detect pipeline shifts and consolidation opportunities."
"Raaf","Vindsubsidies (Add-On)","Tech-enabled Business Services","Grants/Subsidies Advisory + Grant Discovery/Database Platforms","PNO Consultants; Hezelburcht; Ignite Group; Catalyze; Ayming (R&D incentives); Leyton (R&D incentives); Big4 incentives practices","Netherlands funding programme updates; EU programmes (Horizon etc.); R&D tax credits; advisory roll-up M&A; M&A; Fundraising; Large partnerships; Product launches/AI features; Leadership changes; Pricing/packaging; Major customer wins/losses; Geographic expansion; Regulatory/legal (where applicable)","Science|Business (EU research/funding policy); CORDIS / European Commission funding updates; Netherlands funding agency updates (e.g., NL RVO / German federal/state programmes); Competitor newsrooms; LinkedIn (consultants + policy ecosystem); Press-release wires","Add-ons share the same competitive landscape as Vindsubsidies, but with a stronger local-policy tilt. Official programme updates + competitor channels are the fastest way to detect pipeline shifts and consolidation opportunities."
"Trias","Vindsubsidies (Add-On)","Tech-enabled Business Services","Grants/Subsidies Advisory + Grant Discovery/Database Platforms","PNO Consultants; Hezelburcht; Ignite Group; Catalyze; Ayming (R&D incentives); Leyton (R&D incentives); Big4 incentives practices","Netherlands funding programme updates; EU programmes (Horizon etc.); R&D tax credits; advisory roll-up M&A; M&A; Fundraising; Large partnerships; Product launches/AI features; Leadership changes; Pricing/packaging; Major customer wins/losses; Geographic expansion; Regulatory/legal (where applicable)","Science|Business (EU research/funding policy); CORDIS / European Commission funding updates; Netherlands funding agency updates (e.g., NL RVO / German federal/state programmes); Competitor newsrooms; LinkedIn (consultants + policy ecosystem); Press-release wires","Add-ons share the same competitive landscape as Vindsubsidies, but with a stronger local-policy tilt. Official programme updates + competitor channels are the fastest way to detect pipeline shifts and consolidation opportunities."
"Knippenborg","Vindsubsidies (Add-On)","Tech-enabled Business Services","Grants/Subsidies Advisory + Grant Discovery/Database Platforms","PNO Consultants; Hezelburcht; Ignite Group; Catalyze; Ayming (R&D incentives); Leyton (R&D incentives); Big4 incentives practices","Netherlands funding programme updates; EU programmes (Horizon etc.); R&D tax credits; advisory roll-up M&A; M&A; Fundraising; Large partnerships; Product launches/AI features; Leadership changes; Pricing/packaging; Major customer wins/losses; Geographic expansion; Regulatory/legal (where applicable)","Science|Business (EU research/funding policy); CORDIS / European Commission funding updates; Netherlands funding agency updates (e.g., NL RVO / German federal/state programmes); Competitor newsrooms; LinkedIn (consultants + policy ecosystem); Press-release wires","Add-ons share the same competitive landscape as Vindsubsidies, but with a stronger local-policy tilt. Official programme updates + competitor channels are the fastest way to detect pipeline shifts and consolidation opportunities."
"Boonstoppel","Vindsubsidies (Add-On)","Tech-enabled Business Services","Grants/Subsidies Advisory + Grant Discovery/Database Platforms","PNO Consultants; Hezelburcht; Ignite Group; Catalyze; Ayming (R&D incentives); Leyton (R&D incentives); Big4 incentives practices","Netherlands funding programme updates; EU programmes (Horizon etc.); R&D tax credits; advisory roll-up M&A; M&A; Fundraising; Large partnerships; Product launches/AI features; Leadership changes; Pricing/packaging; Major customer wins/losses; Geographic expansion; Regulatory/legal (where applicable)","Science|Business (EU research/funding policy); CORDIS / European Commission funding updates; Netherlands funding agency updates (e.g., NL RVO / German federal/state programmes); Competitor newsrooms; LinkedIn (consultants + policy ecosystem); Press-release wires","Add-ons share the same competitive landscape as Vindsubsidies, but with a stronger local-policy tilt. Official programme updates + competitor channels are the fastest way to detect pipeline shifts and consolidation opportunities."
"Fenergo","","FinTech / RegTech","KYC/AML Client Lifecycle Management (CLM) & Onboarding Automation","NICE Actimize; BAE Systems NetReveal; Pega (KYC/CLM workflows); Quantexa; ComplyAdvantage; Encompass (KYC); LexisNexis Risk Solutions; Refinitiv World-Check (data); Alloy (KYC); Appian (workflow + KYC ops)","New AML/KYC regulations; perpetual KYC; automation/AI for due diligence; sanctions screening changes; bank onboarding digitisation; M&A; Fundraising; Large partnerships; Product launches/AI features; Leadership changes; Pricing/packaging; Major customer wins/losses; Geographic expansion; Regulatory/legal (where applicable)","Finextra; RegTech Analyst / Compliance Week; Regulator updates (EBA/ECB, EU AML package, FinCEN/OFAC as applicable); Vendor newsrooms (Actimize, NetReveal, Quantexa, etc.); LinkedIn (CRO/CCO community); SEC/Companies House filings for public vendors; Press-release wires","RegTech is regulation-led; regulator announcements and enforcement actions can create immediate product demand. Specialist RegTech outlets provide higher signal than general tech press. Vendor and LinkedIn channels surface partnerships, client wins, and leadership moves."
"Agility CIS","","Energy / Utility Technology","Utility Billing + CIS (Customer Information System) & Meter-to-Cash","Oracle Utilities (CC&B); SAP Utilities; Hansen Technologies; Gentrack; Kraken Technologies; Kaluza; VertexOne; Open International (Smartflex); powercloud; ENSEK; Excelergy","Utility billing modernization; smart metering + dynamic tariffs; customer experience portals; SaaS CIS migrations; grid/EV/DER product bundling; M&A; Fundraising; Large partnerships; Product launches/AI features; Leadership changes; Pricing/packaging; Major customer wins/losses; Geographic expansion; Regulatory/legal (where applicable)","Utility Dive; Smart Energy International; Frost & Sullivan / ResearchAndMarkets executive summaries; Vendor newsrooms (Oracle, SAP, Hansen, Gentrack, Kraken, etc.); Regulator updates (Ofgem + other key markets); LinkedIn (utility CIO/COO community); Press-release wires","Utility CIS is driven by regulation + large RFPs; utility-specific press and vendor announcements capture implementations and market entries. Analyst summaries often list the relevant vendor universe and strategic trends."
"Tally Group","Agility CIS (Transformational Add-On)","Energy / Utility Technology","Retail Energy Operating Platform (cloud-native utility stack beyond billing)","Kraken Technologies; Kaluza; Gentrack; Hansen Technologies; Oracle Utilities; SAP Utilities; powercloud; ENSEK; Open International; VertexOne","End-to-end retail energy operating platforms; automation/near-zero-touch ops; bundling EV/solar/DER products; new market launches; M&A; Fundraising; Large partnerships; Product launches/AI features; Leadership changes; Pricing/packaging; Major customer wins/losses; Geographic expansion; Regulatory/legal (where applicable)","Utility Dive; Smart Energy International; Financial Times / WSJ (major platform deals + spin-outs); Vendor newsrooms (Kraken/Kaluza/Gentrack/Hansen etc.); LinkedIn (energy retail operators); Press-release wires","Energy platforms see big strategic deals (spin-outs, large utility contracts). Utility trade press plus tier-1 business press picks up major transactions; LinkedIn and vendor releases catch product rollouts and customer announcements early."
"Znalytics","Agility CIS (Add-On)","Energy / Utility Technology","Retail Energy SaaS (billing/enrollment/pricing/reporting analytics)","VertexOne; ENSEK; Kraken Technologies; Kaluza; Hansen Technologies; Gentrack; Oracle Utilities; powercloud","Retail energy enrollment and pricing innovation; analytics/reporting; market entry into new geos; M&A; Fundraising; Large partnerships; Product launches/AI features; Leadership changes; Pricing/packaging; Major customer wins/losses; Geographic expansion; Regulatory/legal (where applicable)","Utility Dive; Smart Energy International; Vendor newsrooms (VertexOne/ENSEK/Kraken etc.); LinkedIn (energy retail GTM + ops leaders); Press-release wires","Category is fast-moving and contract-driven; vendor announcements and sector press capture RFP wins, go-lives and product modules, which are often the strongest competitive signals."
"Webtools Energy","Agility CIS (Add-On)","Energy / Utility Technology","Energy Pricing/Quoting/Onboarding & Customer Insights Modules","Kraken Technologies; Kaluza; ENSEK; powercloud; Hansen Technologies; Gentrack; VertexOne; Oracle Utilities (adjacent modules)","Quoting/price optimisation; onboarding automation; CAC reduction tooling; channel partnerships; M&A; Fundraising; Large partnerships; Product launches/AI features; Leadership changes; Pricing/packaging; Major customer wins/losses; Geographic expansion; Regulatory/legal (where applicable)","Utility Dive; Smart Energy International; Vendor product update pages + release notes; LinkedIn (energy retail sales + pricing leaders); Press-release wires","Module-level tools often launch quietly and appear first in product notes and LinkedIn. Utility trade press is best for ecosystem deals and integration partnerships."
